"Strain","Plasmid","Replicate","Inducer","Media","Type","Plate","well","time","OD600","row","column"
"E.coli EW11","pLW002",1,"DMSO","M9sa","PosCtrl",1,"A1",0,0.0519,"A",1
"E.coli EW11","pLW002",2,"DMSO","M9sa","PosCtrl",1,"A2",0,0.0493,"A",2
"E.coli EW11","pLW002",3,"DMSO","M9sa","PosCtrl",1,"A3",0,0.0498,"A",3
"E.coli EW11","pLW002",4,"DMSO","M9sa","PosCtrl",1,"A4",0,0.0458,"A",4
"E.coli EW11","pLW002",5,"DMSO","M9sa","PosCtrl",1,"A5",0,0.0466,"A",5
"E.coli EW11","pLW002",6,"DMSO","M9sa","PosCtrl",1,"A6",0,0.0471,"A",6
"E.coli EW11","pLW002",1,"4-HT","M9sa","PosCtrl",1,"A7",0,0.0473,"A",7
"E.coli EW11","pLW002",2,"4-HT","M9sa","PosCtrl",1,"A8",0,0.0457,"A",8
"E.coli EW11","pLW002",3,"4-HT","M9sa","PosCtrl",1,"A9",0,0.0591,"A",9
"E.coli EW11","pLW002",4,"4-HT","M9sa","PosCtrl",1,"A10",0,0.048,"A",10
"E.coli EW11","pLW002",5,"4-HT","M9sa","PosCtrl",1,"A11",0,0.0465,"A",11
"E.coli EW11","pLW002",6,"4-HT","M9sa","PosCtrl",1,"A12",0,0.0457,"A",12
"E.coli EW11","DV41",1,"DMSO","M9sa","Structural",1,"B1",0,0.0464,"B",1
"E.coli EW11","DV41",2,"DMSO","M9sa","Structural",1,"B2",0,0.0493,"B",2
"E.coli EW11","DV41",3,"DMSO","M9sa","Structural",1,"B3",0,0.0505,"B",3
"E.coli EW11","DV41",4,"DMSO","M9sa","Structural",1,"B4",0,0.0469,"B",4
"E.coli EW11","DV41",5,"DMSO","M9sa","Structural",1,"B5",0,0.0489,"B",5
"E.coli EW11","DV41",6,"DMSO","M9sa","Structural",1,"B6",0,0.0452,"B",6
"E.coli EW11","DV41",1,"4-HT","M9sa","Structural",1,"B7",0,0.0459,"B",7
"E.coli EW11","DV41",2,"4-HT","M9sa","Structural",1,"B8",0,0.0468,"B",8
"E.coli EW11","DV41",3,"4-HT","M9sa","Structural",1,"B9",0,0.0466,"B",9
"E.coli EW11","DV41",4,"4-HT","M9sa","Structural",1,"B10",0,0.048,"B",10
"E.coli EW11","DV41",5,"4-HT","M9sa","Structural",1,"B11",0,0.0462,"B",11
"E.coli EW11","DV41",6,"4-HT","M9sa","Structural",1,"B12",0,0.0451,"B",12
"E.coli EW11","DV130",1,"DMSO","M9sa","Structural",1,"C1",0,0.0474,"C",1
"E.coli EW11","DV130",2,"DMSO","M9sa","Structural",1,"C2",0,0.0493,"C",2
"E.coli EW11","DV130",3,"DMSO","M9sa","Structural",1,"C3",0,0.0504,"C",3
"E.coli EW11","DV130",4,"DMSO","M9sa","Structural",1,"C4",0,0.0477,"C",4
"E.coli EW11","DV130",5,"DMSO","M9sa","Structural",1,"C5",0,0.048,"C",5
"E.coli EW11","DV130",6,"DMSO","M9sa","Structural",1,"C6",0,0.0457,"C",6
"E.coli EW11","DV130",1,"4-HT","M9sa","Structural",1,"C7",0,0.0453,"C",7
"E.coli EW11","DV130",2,"4-HT","M9sa","Structural",1,"C8",0,0.0463,"C",8
"E.coli EW11","DV130",3,"4-HT","M9sa","Structural",1,"C9",0,0.0477,"C",9
"E.coli EW11","DV130",4,"4-HT","M9sa","Structural",1,"C10",0,0.0462,"C",10
"E.coli EW11","DV130",5,"4-HT","M9sa","Structural",1,"C11",0,0.0475,"C",11
"E.coli EW11","DV130",6,"4-HT","M9sa","Structural",1,"C12",0,0.0451,"C",12
"E.coli EW11","DV264",1,"DMSO","M9sa","Dynamic",1,"D1",0,0.0498,"D",1
"E.coli EW11","DV264",2,"DMSO","M9sa","Dynamic",1,"D2",0,0.0533,"D",2
"E.coli EW11","DV264",3,"DMSO","M9sa","Dynamic",1,"D3",0,0.0529,"D",3
"E.coli EW11","DV264",4,"DMSO","M9sa","Dynamic",1,"D4",0,0.0613,"D",4
"E.coli EW11","DV264",5,"DMSO","M9sa","Dynamic",1,"D5",0,0.0528,"D",5
"E.coli EW11","DV264",6,"DMSO","M9sa","Dynamic",1,"D6",0,0.0542,"D",6
"E.coli EW11","DV264",1,"4-HT","M9sa","Dynamic",1,"D7",0,0.0548,"D",7
"E.coli EW11","DV264",2,"4-HT","M9sa","Dynamic",1,"D8",0,0.0514,"D",8
"E.coli EW11","DV264",3,"4-HT","M9sa","Dynamic",1,"D9",0,0.0551,"D",9
"E.coli EW11","DV264",4,"4-HT","M9sa","Dynamic",1,"D10",0,0.0506,"D",10
"E.coli EW11","DV264",5,"4-HT","M9sa","Dynamic",1,"D11",0,0.0516,"D",11
"E.coli EW11","DV264",6,"4-HT","M9sa","Dynamic",1,"D12",0,0.0626,"D",12
"E.coli EW11","DV496",1,"DMSO","M9sa","Dynamic",1,"E1",0,0.1047,"E",1
"E.coli EW11","DV496",2,"DMSO","M9sa","Dynamic",1,"E2",0,0.0519,"E",2
"E.coli EW11","DV496",3,"DMSO","M9sa","Dynamic",1,"E3",0,0.0468,"E",3
"E.coli EW11","DV496",4,"DMSO","M9sa","Dynamic",1,"E4",0,0.0507,"E",4
"E.coli EW11","DV496",5,"DMSO","M9sa","Dynamic",1,"E5",0,0.0554,"E",5
"E.coli EW11","DV496",6,"DMSO","M9sa","Dynamic",1,"E6",0,0.0533,"E",6
