"Strain","Plasmid","Replicate","RBS","Promoter","Media","well","time","OD600","row","column"
"","",NA,"","","","A1",0,NA,"A",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9C","A2",0,0.1595,"A",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9C","A3",0,0.2317,"A",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9C","A4",0,0.1455,"A",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9C","A5",0,0.1809,"A",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9C","A6",0,0.3698,"A",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9C","A7",0,0.3556,"A",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9C","A8",0,0.4922,"A",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9C","A9",0,0.1823,"A",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9C","A10",0,0.3288,"A",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9C","A11",0,0.359,"A",11
"","",NA,"","","","A12",0,NA,"A",12
"","",NA,"","","","B1",0,NA,"B",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9C","B2",0,0.2589,"B",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9C","B3",0,0.1975,"B",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9C","B4",0,0.1294,"B",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9C","B5",0,0.3017,"B",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9C","B6",0,0.2759,"B",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9C","B7",0,0.1719,"B",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9C","B8",0,0.4349,"B",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9C","B9",0,0.2439,"B",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9C","B10",0,0.2714,"B",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9C","B11",0,0.3374,"B",11
"","",NA,"","","","B12",0,NA,"B",12
"","",NA,"","","","C1",0,NA,"C",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9C","C2",0,0.1151,"C",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9C","C3",0,0.1714,"C",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9C","C4",0,0.1865,"C",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9C","C5",0,0.1447,"C",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9C","C6",0,0.2099,"C",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9C","C7",0,0.1721,"C",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9C","C8",0,0.1425,"C",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9C","C9",0,0.1181,"C",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9C","C10",0,0.1546,"C",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9C","C11",0,0.1196,"C",11
"","",NA,"","","","C12",0,NA,"C",12
"","",NA,"","","","D1",0,NA,"D",1
"","",NA,"","","","D2",0,NA,"D",2
"","",NA,"","","","D3",0,NA,"D",3
"","",NA,"","","","D4",0,NA,"D",4
"","",NA,"","","","D5",0,NA,"D",5
"","",NA,"","","","D6",0,NA,"D",6
"","",NA,"","","","D7",0,NA,"D",7
"","",NA,"","","","D8",0,NA,"D",8
"","",NA,"","","","D9",0,NA,"D",9
"","",NA,"","","","D10",0,NA,"D",10
"","",NA,"","","","D11",0,NA,"D",11
"","",NA,"","","","D12",0,NA,"D",12
"","",NA,"","","","E1",0,NA,"E",1
"","",NA,"","","","E2",0,NA,"E",2
"","",NA,"","","","E3",0,NA,"E",3
"","",NA,"","","","E4",0,NA,"E",4
"","",NA,"","","","E5",0,NA,"E",5
"","",NA,"","","","E6",0,NA,"E",6
"","",NA,"","","","E7",0,NA,"E",7
"","",NA,"","","","E8",0,NA,"E",8
"","",NA,"","","","E9",0,NA,"E",9
"","",NA,"","","","E10",0,NA,"E",10
"","",NA,"","","","E11",0,NA,"E",11
"","",NA,"","","","E12",0,NA,"E",12
"","",NA,"","","","F1",0,NA,"F",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9sa","F2",0,0.1285,"F",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9sa","F3",0,0.1541,"F",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9sa","F4",0,0.1093,"F",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9sa","F5",0,0.1328,"F",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9sa","F6",0,0.124,"F",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9sa","F7",0,0.1515,"F",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9sa","F8",0,0.1678,"F",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9sa","F9",0,0.2545,"F",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9sa","F10",0,0.1805,"F",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9sa","F11",0,0.1474,"F",11
"","",NA,"","","","F12",0,NA,"F",12
"","",NA,"","","","G1",0,NA,"G",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9sa","G2",0,0.1204,"G",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9sa","G3",0,0.1651,"G",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9sa","G4",0,0.2014,"G",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9sa","G5",0,0.1436,"G",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9sa","G6",0,0.1341,"G",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9sa","G7",0,0.3513,"G",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9sa","G8",0,0.2238,"G",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9sa","G9",0,0.2429,"G",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9sa","G10",0,0.164,"G",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9sa","G11",0,0.2603,"G",11
"","",NA,"","","","G12",0,NA,"G",12
"","",NA,"","","","H1",0,NA,"H",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9sa","H2",0,0.1677,"H",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9sa","H3",0,0.1552,"H",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9sa","H4",0,0.1089,"H",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9sa","H5",0,0.129,"H",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9sa","H6",0,0.1239,"H",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9sa","H7",0,0.1356,"H",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9sa","H8",0,0.2304,"H",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9sa","H9",0,0.1516,"H",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9sa","H10",0,0.1309,"H",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9sa","H11",0,0.1926,"H",11
"","",NA,"","","","H12",0,NA,"H",12
"","",NA,"","","","A1",569.515,NA,"A",1
"E.coli EW11","SKS45",1,"k2.3","P150","M9C","A2",569.515,0.1652,"A",2
"E.coli EW11","SKS46",1,"k0.75","P150","M9C","A3",569.515,0.2507,"A",3
"E.coli EW11","SKS47",1,"k8.5","P-tet","M9C","A4",569.515,0.152,"A",4
"E.coli EW11","SKS48",1,"k2.3","P-tet","M9C","A5",569.515,0.1935,"A",5
"E.coli EW11","SKS49",1,"k0.75","P-tet","M9C","A6",569.515,0.4032,"A",6
"E.coli EW11","SKS50",1,"k8.5","P150","M9C","A7",569.515,0.6064,"A",7
"E.coli EW11","SKS51",1,"k2.3","P150","M9C","A8",569.515,0.533,"A",8
"E.coli EW11","SKS52",1,"k0.75","P150","M9C","A9",569.515,0.2033,"A",9
"E.coli EW11","SKS54",1,"k2.3","P-tet","M9C","A10",569.515,0.3462,"A",10
"E.coli EW11","SKS55",1,"k0.75","P-tet","M9C","A11",569.515,0.3823,"A",11
"","",NA,"","","","A12",569.515,NA,"A",12
"","",NA,"","","","B1",569.515,NA,"B",1
"E.coli EW11","SKS45",2,"k2.3","P150","M9C","B2",569.515,0.2648,"B",2
"E.coli EW11","SKS46",2,"k0.75","P150","M9C","B3",569.515,0.2137,"B",3
"E.coli EW11","SKS47",2,"k8.5","P-tet","M9C","B4",569.515,0.1325,"B",4
"E.coli EW11","SKS48",2,"k2.3","P-tet","M9C","B5",569.515,0.3274,"B",5
"E.coli EW11","SKS49",2,"k0.75","P-tet","M9C","B6",569.515,0.295,"B",6
"E.coli EW11","SKS50",2,"k8.5","P150","M9C","B7",569.515,0.1831,"B",7
"E.coli EW11","SKS51",2,"k2.3","P150","M9C","B8",569.515,0.4598,"B",8
"E.coli EW11","SKS52",2,"k0.75","P150","M9C","B9",569.515,0.3006,"B",9
"E.coli EW11","SKS54",2,"k2.3","P-tet","M9C","B10",569.515,0.3093,"B",10
"E.coli EW11","SKS55",2,"k0.75","P-tet","M9C","B11",569.515,0.363,"B",11
"","",NA,"","","","B12",569.515,NA,"B",12
"","",NA,"","","","C1",569.515,NA,"C",1
"E.coli EW11","SKS45",3,"k2.3","P150","M9C","C2",569.515,0.118,"C",2
"E.coli EW11","SKS46",3,"k0.75","P150","M9C","C3",569.515,0.1831,"C",3
"E.coli EW11","SKS47",3,"k8.5","P-tet","M9C","C4",569.515,0.1948,"C",4
"E.coli EW11","SKS48",3,"k2.3","P-tet","M9C","C5",569.515,0.1551,"C",5
"E.coli EW11","SKS49",3,"k0.75","P-tet","M9C","C6",569.515,0.2268,"C",6
"E.coli EW11","SKS50",3,"k8.5","P150","M9C","C7",569.515,0.1863,"C",7
"E.coli EW11","SKS51",3,"k2.3","P150","M9C","C8",569.515,0.147,"C",8
"E.coli EW11","SKS52",3,"k0.75","P150","M9C","C9",569.515,0.1223,"C",9
"E.coli EW11","SKS54",3,"k2.3","P-tet","M9C","C10",569.515,0.1699,"C",10
"E.coli EW11","SKS55",3,"k0.75","P-tet","M9C","C11",569.515,0.1242,"C",11
"","",NA,"","","","C12",569.515,NA,"C",12
"","",NA,"","","","D1",569.515,NA,"D",1
"","",NA,"","","","D2",569.515,NA,"D",2
"","",NA,"","","","D3",569.515,NA,"D",3
"","",NA,"","","","D4",569.515,NA,"D",4
"","",NA,"","","","D5",569.515,NA,"D",5
"","",NA,"","","","D6",569.515,NA,"D",6
"","",NA,"","","","D7",569.515,NA,"D",7
"","",NA,"","","","D8",569.515,NA,"D",8
"","",NA,"","","","D9",569.515,NA,"D",9
"","",NA,"","","","D10",569.515,NA,"D",10
"","",NA,"","","","D11",569.515,NA,"D",11
"","",NA,"","","","D12",569.515,NA,"D",12
"","",NA,"","","","E1",569.515,NA,"E",1
"","",NA,"","","","E2",569.515,NA,"E",2
"","",NA,"","","","E3",569.515,NA,"E",3
"","",NA,"","","","E4",569.515,NA,"E",4
"","",NA,"","","","E5",569.515,NA,"E",5
"","",NA,"","","","E6",569.515,NA,"E",6
"","",NA,"","","","E7",569.515,NA,"E",7
"","",NA,"","","","E8",569.515,NA,"E",8
"","",NA,"","","","E9",569.515,NA,"E",9
"","",NA,"","","","E10",569.515,NA,"E",10
"","",NA,"","","","E11",569.515,NA,"E",11
"","",NA,"","","","E12",569.515,NA,"E",12
"","",NA,"","","","F1",569.515,NA,"F",1
