Strain,Plasmid,Replicate,RBS,Promoter,Media,well
,,,,,,A1
E.coli EW11,SKS45,1,k2.3,P150,M9C,A2
E.coli EW11,SKS46,1,k0.75,P150,M9C,A3
E.coli EW11,SKS47,1,k8.5,P-tet,M9C,A4
E.coli EW11,SKS48,1,k2.3,P-tet,M9C,A5
E.coli EW11,SKS49,1,k0.75,P-tet,M9C,A6
E.coli EW11,SKS50,1,k8.5,P150,M9C,A7
E.coli EW11,SKS51,1,k2.3,P150,M9C,A8
E.coli EW11,SKS52,1,k0.75,P150,M9C,A9
E.coli EW11,SKS54,1,k2.3,P-tet,M9C,A10
E.coli EW11,SKS55,1,k0.75,P-tet,M9C,A11
,,,,,,A12
,,,,,,B1
E.coli EW11,SKS45,2,k2.3,P150,M9C,B2
E.coli EW11,SKS46,2,k0.75,P150,M9C,B3
E.coli EW11,SKS47,2,k8.5,P-tet,M9C,B4
E.coli EW11,SKS48,2,k2.3,P-tet,M9C,B5
E.coli EW11,SKS49,2,k0.75,P-tet,M9C,B6
E.coli EW11,SKS50,2,k8.5,P150,M9C,B7
E.coli EW11,SKS51,2,k2.3,P150,M9C,B8
E.coli EW11,SKS52,2,k0.75,P150,M9C,B9
E.coli EW11,SKS54,2,k2.3,P-tet,M9C,B10
E.coli EW11,SKS55,2,k0.75,P-tet,M9C,B11
,,,,,,B12
,,,,,,C1
E.coli EW11,SKS45,3,k2.3,P150,M9C,C2
E.coli EW11,SKS46,3,k0.75,P150,M9C,C3
E.coli EW11,SKS47,3,k8.5,P-tet,M9C,C4
E.coli EW11,SKS48,3,k2.3,P-tet,M9C,C5
E.coli EW11,SKS49,3,k0.75,P-tet,M9C,C6
E.coli EW11,SKS50,3,k8.5,P150,M9C,C7
E.coli EW11,SKS51,3,k2.3,P150,M9C,C8
E.coli EW11,SKS52,3,k0.75,P150,M9C,C9
E.coli EW11,SKS54,3,k2.3,P-tet,M9C,C10
E.coli EW11,SKS55,3,k0.75,P-tet,M9C,C11
,,,,,,C12
,,,,,,D1
,,,,,,D2
,,,,,,D3
,,,,,,D4
,,,,,,D5
,,,,,,D6
,,,,,,D7
,,,,,,D8
,,,,,,D9
,,,,,,D10
,,,,,,D11
,,,,,,D12
,,,,,,E1
,,,,,,E2
,,,,,,E3
,,,,,,E4
,,,,,,E5
,,,,,,E6
,,,,,,E7
,,,,,,E8
,,,,,,E9
,,,,,,E10
,,,,,,E11
,,,,,,E12
,,,,,,F1
E.coli EW11,SKS45,1,k2.3,P150,M9sa,F2
E.coli EW11,SKS46,1,k0.75,P150,M9sa,F3
E.coli EW11,SKS47,1,k8.5,P-tet,M9sa,F4
E.coli EW11,SKS48,1,k2.3,P-tet,M9sa,F5
E.coli EW11,SKS49,1,k0.75,P-tet,M9sa,F6
E.coli EW11,SKS50,1,k8.5,P150,M9sa,F7
E.coli EW11,SKS51,1,k2.3,P150,M9sa,F8
E.coli EW11,SKS52,1,k0.75,P150,M9sa,F9
E.coli EW11,SKS54,1,k2.3,P-tet,M9sa,F10
E.coli EW11,SKS55,1,k0.75,P-tet,M9sa,F11
,,,,,,F12
,,,,,,G1
E.coli EW11,SKS45,2,k2.3,P150,M9sa,G2
E.coli EW11,SKS46,2,k0.75,P150,M9sa,G3
E.coli EW11,SKS47,2,k8.5,P-tet,M9sa,G4
E.coli EW11,SKS48,2,k2.3,P-tet,M9sa,G5
E.coli EW11,SKS49,2,k0.75,P-tet,M9sa,G6
E.coli EW11,SKS50,2,k8.5,P150,M9sa,G7
E.coli EW11,SKS51,2,k2.3,P150,M9sa,G8
E.coli EW11,SKS52,2,k0.75,P150,M9sa,G9
E.coli EW11,SKS54,2,k2.3,P-tet,M9sa,G10
E.coli EW11,SKS55,2,k0.75,P-tet,M9sa,G11
,,,,,,G12
,,,,,,H1
E.coli EW11,SKS45,3,k2.3,P150,M9sa,H2
E.coli EW11,SKS46,3,k0.75,P150,M9sa,H3
E.coli EW11,SKS47,3,k8.5,P-tet,M9sa,H4
E.coli EW11,SKS48,3,k2.3,P-tet,M9sa,H5
E.coli EW11,SKS49,3,k0.75,P-tet,M9sa,H6
E.coli EW11,SKS50,3,k8.5,P150,M9sa,H7
E.coli EW11,SKS51,3,k2.3,P150,M9sa,H8
E.coli EW11,SKS52,3,k0.75,P150,M9sa,H9
E.coli EW11,SKS54,3,k2.3,P-tet,M9sa,H10
E.coli EW11,SKS55,3,k0.75,P-tet,M9sa,H11
,,,,,,H12
